Datetime,Open,High,Low,Close,Adj Close,Volume
2022-04-17 19:45:00+00:00,40175.125,40293.3125,40175.125,40293.3125,40293.3125,0
2022-04-17 19:50:00+00:00,40316.82421875,40382.19140625,40316.82421875,40382.19140625,40382.19140625,133923840
2022-04-17 19:55:00+00:00,40380.20703125,40380.3203125,40369.67578125,40369.67578125,40369.67578125,107765760
2022-04-17 20:00:00+00:00,40370.08984375,40393.43359375,40370.08984375,40393.43359375,40393.43359375,25071616
2022-04-17 20:05:00+00:00,40406.84765625,40406.84765625,40402.52734375,40402.52734375,40402.52734375,47454208
2022-04-17 20:10:00+00:00,40399.0078125,40399.0078125,40382.953125,40383.40625,40383.40625,23066624
2022-04-17 20:15:00+00:00,40362.6171875,40368.0234375,40362.6171875,40368.0234375,40368.0234375,688128
2022-04-17 20:20:00+00:00,40370.1328125,40384.12109375,40370.1328125,40383.26171875,40383.26171875,23562240
2022-04-17 20:25:00+00:00,40380.76171875,40380.76171875,40372.99609375,40373.7109375,40373.7109375,2105344
2022-04-17 20:30:00+00:00,40371.38671875,40396.4765625,40371.38671875,40396.4765625,40396.4765625,56571904
2022-04-17 20:35:00+00:00,40393.53515625,40400.9921875,40391.63671875,40400.9921875,40400.9921875,16799744
2022-04-17 20:40:00+00:00,40401.01171875,40410.2421875,40401.01171875,40406.69140625,40406.69140625,36888576
2022-04-17 20:45:00+00:00,40404.23828125,40404.23828125,40354.36328125,40354.36328125,40354.36328125,21377024
2022-04-17 20:50:00+00:00,40335.91796875,40335.91796875,40297.01171875,40297.01171875,40297.01171875,0
2022-04-17 20:55:00+00:00,40312.45703125,40312.45703125,40304.19140625,40304.19140625,40304.19140625,0
2022-04-17 21:00:00+00:00,40298.2421875,40298.2421875,40284.9765625,40284.9765625,40284.9765625,0
2022-04-17 21:05:00+00:00,40273.41015625,40273.41015625,40249.55859375,40249.55859375,40249.55859375,0
2022-04-17 21:10:00+00:00,40236.4140625,40238.0703125,40230.1328125,40230.1328125,40230.1328125,8099840
2022-04-17 21:15:00+00:00,40226.59375,40226.59375,40201.39453125,40201.39453125,40201.39453125,22028288
2022-04-17 21:20:00+00:00,40206.6796875,40206.6796875,40197.625,40204.05078125,40204.05078125,29265920
2022-04-17 21:25:00+00:00,40221.75390625,40228.27734375,40221.75390625,40226.0,40226.0,5730304
2022-04-17 21:30:00+00:00,40219.68359375,40219.68359375,40199.16015625,40199.16015625,40199.16015625,21071872
2022-04-17 21:35:00+00:00,40200.21484375,40209.3671875,40200.21484375,40209.3671875,40209.3671875,0
2022-04-17 21:40:00+00:00,40224.90234375,40245.46875,40224.90234375,40245.46875,40245.46875,22028288
2022-04-17 21:45:00+00:00,40242.33203125,40242.33203125,40225.84765625,40225.84765625,40225.84765625,0
2022-04-17 21:50:00+00:00,40212.6171875,40219.23828125,40211.6875,40217.9453125,40217.9453125,0
2022-04-17 21:55:00+00:00,40224.29296875,40224.29296875,40220.82421875,40223.546875,40223.546875,0
2022-04-17 22:00:00+00:00,40225.61328125,40225.61328125,40176.0859375,40176.0859375,40176.0859375,0
2022-04-17 22:05:00+00:00,40120.09375,40142.72265625,40113.58203125,40142.72265625,40142.72265625,29992960
2022-04-17 22:10:00+00:00,40163.5546875,40219.65625,40163.5546875,40219.65625,40219.65625,0
2022-04-17 22:15:00+00:00,40226.97265625,40264.84375,40226.97265625,40261.51953125,40261.51953125,31934464
2022-04-17 22:20:00+00:00,40264.390625,40270.99609375,40257.8203125,40270.4140625,40270.4140625,0
2022-04-17 22:25:00+00:00,40298.58984375,40298.58984375,40287.7109375,40287.7109375,40287.7109375,0
2022-04-17 22:30:00+00:00,40287.484375,40296.8203125,40273.171875,40273.171875,40273.171875,17594368
2022-04-17 22:35:00+00:00,40266.92578125,40266.92578125,40256.8984375,40256.8984375,40256.8984375,96638976
2022-04-17 22:40:00+00:00,40211.16015625,40211.16015625,40180.703125,40180.703125,40180.703125,37691392
2022-04-17 22:45:00+00:00,40174.51953125,40174.51953125,40137.375,40137.375,40137.375,3000320
2022-04-17 22:50:00+00:00,40033.2578125,40050.8515625,40033.2578125,40048.890625,40048.890625,95459328
2022-04-17 22:55:00+00:00,40053.46484375,40056.92578125,40051.3671875,40056.92578125,40056.92578125,40658944
2022-04-17 23:00:00+00:00,40042.68359375,40042.68359375,39962.3125,39962.3125,39962.3125,5001216
2022-04-17 23:05:00+00:00,39938.57421875,39938.57421875,39913.8203125,39913.8203125,39913.8203125,49590272
2022-04-17 23:10:00+00:00,39923.50390625,39953.71484375,39923.50390625,39953.71484375,39953.71484375,112084992
2022-04-17 23:15:00+00:00,39946.6640625,39967.92578125,39946.6640625,39967.92578125,39967.92578125,98674688
2022-04-17 23:20:00+00:00,39959.66796875,39959.66796875,39877.53515625,39877.53515625,39877.53515625,0
2022-04-17 23:25:00+00:00,39812.65625,39814.23046875,39743.92578125,39743.92578125,39743.92578125,177043456
2022-04-17 23:30:00+00:00,39718.20703125,39718.20703125,39661.09375,39661.09375,39661.09375,299386880
2022-04-17 23:35:00+00:00,39668.6796875,39686.4609375,39667.9609375,39686.4609375,39686.4609375,68116480
2022-04-17 23:40:00+00:00,39705.88671875,39705.88671875,39653.0234375,39653.0234375,39653.0234375,126384128
2022-04-17 23:45:00+00:00,39644.2890625,39648.0703125,39620.89453125,39620.89453125,39620.89453125,113498112
2022-04-17 23:50:00+00:00,39630.2421875,39702.41796875,39630.2421875,39702.41796875,39702.41796875,62781440
2022-04-17 23:55:00+00:00,39692.03125,39722.81640625,39692.03125,39722.81640625,39722.81640625,115355648
2022-04-18 00:00:00+00:00,39721.203125,39721.203125,39694.578125,39694.578125,39694.578125,38121472
